run_id,table,rows,missing
20260429T230230Z_black_box_vllm_sglang,all_samples_graded,1050,False
20260429T230230Z_black_box_vllm_sglang,all_samples_raw,1050,False
20260429T230230Z_black_box_vllm_sglang,public_per_sample_comparison,450,False
20260429T230230Z_black_box_vllm_sglang,failure_bucket_summary,4,False
20260429T230230Z_black_box_vllm_sglang,latency_summary,7,False
20260429T230230Z_black_box_vllm_sglang,all_samples_standard_eval,0,True
20260429T230230Z_black_box_vllm_sglang,all_samples_comparison,0,True
20260429T230230Z_black_box_vllm_sglang,run_manifest,1,False
20260429T230230Z_black_box_vllm_sglang,run_config_flat,1,False
20260429T230230Z_black_box_vllm_sglang,endpoint_manifest,0,True
20260429T230230Z_black_box_vllm_sglang,endpoint_resolution,7,False
20260429T230230Z_black_box_vllm_sglang,standard_evaluator_events,1,False
20260429T230230Z_black_box_vllm_sglang,run_progress_events,63,False
20260429T230230Z_black_box_vllm_sglang,condition_progress_events,9,False
20260429T230230Z_black_box_vllm_sglang,integrity_checks_events,3,False
20260429T230230Z_black_box_vllm_sglang,endpoint_manager_events,70,False
20260429T230230Z_black_box_vllm_sglang,endpoint_shutdown_events,0,True
20260429T230230Z_black_box_vllm_sglang,aiperf_events,0,True
